ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41532949,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301226128693418,REEL,Anh em cờ thủ lưu ý khi chơi nhaaaa 🔥🔥🔥 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/1753201885352176/,2026-01-01 09:00:56,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,1007,958,24,25,83000,,,,,,,,,,,,,,,,,,,,,,,,,,,82,36954
41532922,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301309245351773,ALBUM,"🥰CHÍNH THỨC BẮT ĐẦU: CHẶNG 2 ĐẤU TRƯỜNG 100 (01.01 - 15.01) 

😎Hệ thống đã mở, điểm số đã reset. Anh em cờ thủ đâu rồi, điểm danh nào! 

😘Tại sao Chặng 2 đáng chơi hơn bao giờ hết?
Tra cứu minh bạch: Update tính năng soi hạng, biết mình đang đứng đâu để tính chiến thuật, Top 1-10 nhận tới 3.550 Xu, Top 50 vẫn có 1.400 Xu bỏ túi.

😎Đừng để người khác chiếm mất Top 1 của bạn trong ngày đầu năm!

Đừng chần chừ, cơ hội nhận quà đều dành cho những cờ thủ chăm chỉ cày cuốt!

😎THAM GIA NGAY: https://dtcl.vnggames.com/vi-vn/set16/#ranking

⏳ Thời Gian:
Chặng 1: 00:00 ngày 12.12 - 23:59 ngày 26.12 ( Đã kết thúc )
Chặng 2: 00:00 ngày 01.01 - 23:59 ngày 15.01

👉Chế độ chơi: Thường & Xếp Hạng Mùa 16
👉Cách tính điểm: Tùy vào thứ hạng của Cờ thủ trong trận đấu với thời gian tối thiểu là 20 phút/ trận đấu và đạt đến vòng 5-6. Hệ thống sẽ ghi nhận tổng điểm cờ thủ đạt được trong thời gian diễn ra sự kiện và đưa lên BXH.

👉Các bước tham gia:
Bước 1: Truy cập vào trang thông tin Mùa 16.
Bước 2: Chọn tham gia ngay tại mục sự kiện Đấu Trường 100.
Bước 3: Điền thông tin cá nhân trên form là hoàn tất thủ tục.

🔥Điểm số của bạn sẽ được tính dựa trên kết quả các trận đấu đạt được trong toàn bộ thời gian quy định của sự kiện, KHÔNG PHẢI từ lúc bạn đăng ký. Điều này nhằm đảm bảo tính công bằng cho tất cả cờ thủ nên anh em yên tâm nhé! Bảng xếp hạng sẽ được cập nhật vào lúc 23:59 mỗi ngày.

🔥Cơ cấu giải thưởng/ chặng:
- Top 1 - 10: 3550 Xu ĐTCL
- Top 11 - 50: 1400 Xu ĐTCL
- Top 51 - 100: Sân đấu bậc Huyền Thoại ngẫu nhiên

Quy định sự kiện:

1. TUYỆT ĐỐI KHÔNG thay đổi tên Riot ID trong suốt quá trình diễn ra sự kiện, nếu có bất kỳ sự cố gì xảy ra BTC sẽ không chịu trách nhiệm
2. Phần thưởng Xu ĐTCL sẽ nạp trực tiếp vào Riot ID đăng ký tham dự của cờ thủ, Code sân đấu sẽ gửi vào Mail đăng ký Riot ID.
3. Phần thưởng sẽ là Xu ĐTCL trong phiên bản Mobile, anh em cờ thủ PC tải ĐTCL Mobile để nhận nếu có giải nhé!
4. BTC có quyền từ chối, không ghi nhận cờ thủ đặt tên chứa từ ngữ tiêu cực, phản cảm, không phù hợp với thuần phong mỹ tục Việt Nam.
5. Phần thưởng sẽ được trao trong vòng 60 ngày từ khi kết thúc sự kiện.
6. Trong mọi trường hợp xảy ra, quyết định từ BTC là quyết định cuối cùng.
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid02EYk8D7t45fMsoKJ1sk1SSUKtXXwtdtZZBaBHQ8BHYyXEBEanS3maufkQxQt66RWl,2026-01-01 11:00:18,#ranking #dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,440,359,73,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532885,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301397132009651,REEL,Chúc anh em cờ thủ 2026 bùng nổ top 1 nhaaaa 🔥🔥🔥 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/851741734238298/,2026-01-01 13:14:00,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,274,256,16,2,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4997
41532876,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301504925332205,PHOTO,"Xin vía đầu nămmm 🙏🙏🙏
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid0WJyo8ByLyPa2EwPsfNPZbVqCDb7YjYNzbWH48UFUNEcHFabRPzJsSyGwHgowCMU6l,2026-01-01 16:23:54,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,199,168,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532875,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301555485327149,TEXT,Đội hình Ryze Đấu Sĩ quá là ngonnn 😎😎😎 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/1388804736059610/,2026-01-01 18:01:28,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,4921,4596,35,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532859,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301655071983857,PHOTO,"Anh em cờ thủ thích phe Ánh Sáng hay Bóng Tối đâyyyy 😇😇😇
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid024ad5dWcuNWVFDXm4XL5qMqZvA7h3xc1rHLoa153Uwuinx437ZtC1RcfpBxzj2EwTl,2026-01-01 20:45:16,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,1925,1804,117,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532858,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1301729331976431,TEXT,"Nghỉ lễ đánh cờ
chill chill có cơ hội nhận 200,000
Xu ĐTCL
👇👇👇",https://www.facebook.com/DTCLVN/posts/pfbid0xpbZnoEXa5MvAsxvxmw1uExTTvepQ3DiutKxNLb7PSnmwY71yKvPNG7KreUNoZcl,2026-01-01 22:41:05,,1619,1429,181,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532856,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302010808614950,REEL,Gangplank và pha “báo” cả Runeterra 🤣🤣🤣 #dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,https://www.facebook.com/reel/1363312911672839/,2026-01-02 09:01:13,#dautruongchanlyofficial #dautruongchanlychannel #dautruongchanlymobile,432,416,15,1,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,52,16329
41532814,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302111395271558,PHOTO,"Bao trâu nếu anh em sắp xếp hợp lí nhaaa 💪💪💪
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid029yWXN9wD9hLoARnTDS1oQAQM8g32325NeCYHmTnkMtCeF8K5Vd7LZLJVBSuSR7sYl,2026-01-02 12:42:40,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,617,558,54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41532813,Facebook,109434243802681,Đấu Trường Chân Lý,,track-competitors,1302208008595230,PHOTO,"Quá oke oke oke cho năm mới lunnnn 😍😍😍
----------------------—
- Trang nạp chính thức của ĐTCL Mobile: https://shop.vnggames.com/vn/game/dtcl
- Mua RP tại trang web chính thức: https://shop.vnggames.com/vn/game/lienminh
- Đội ngũ hỗ trợ người chơi của chúng tôi sẽ luôn sẵn sàng hỗ trợ tại: https://dtcl.vnggames.com/ho-tro-khach-hang/
#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel",https://www.facebook.com/DTCLVN/posts/pfbid0jvZzEiLzvdafotdRarp68drnHeDbGJvrqX5y5XGr8GDRVL5N4d7zwyz7mtCC9AjEl,2026-01-02 16:09:23,#dautruongchanlyofficial #dautruongchanlymobile #dautruongchanlychannel,143,134,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
