ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41433645,Facebook,118240937870137,Football Pro - VTC,,track-competitors,826909893682329,PHOTO,"🥰 MỪNG TẾT DƯƠNG LỊCH 2026: NHẬN CODE CHUNG NGAY 🥰
🔖 Giftcode chung cho mọi nhà: T32FRAWKAAAOGD32
Khởi động năm 2026 đầy hứng khởi, admin xin kính chúc quý HLV có một năm mới 2026 đầy may mắn, thuận buồn xuôi gió, tiền bạc đầy kho ❤️
🔥 Năm 2026 hứa hẹn sẽ là một năm Đỉnh Của Chóp cho những game thủ Football Pro!!
Đón chờ nhé cả nhà ơi ❤️
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid0K2NfAAT8VCwbWbrk7fNhtcc2WruqcwpjwH828fBuY4sbQTex2eWGXGa4SsT9wME7l,2026-01-01 10:00:14,,489,279,207,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433632,Facebook,118240937870137,Football Pro - VTC,,track-competitors,826953897011262,PHOTO,"🔥🔥🔥
Anh em đã online hôm nay để nhận quà bất ngờ từ anh kỹ thuật chưa?
⏰ Thời hạn nhận chỉ trong hôm nay!
Online ngay nhé ❤️‍🔥",https://www.facebook.com/FootballProVTC/posts/pfbid02DC3Hm5PAxpvB5nbj1KDHCoKxDETMcKLXWeHsm51UFpfuAbpiGHKEZGPWE8JioMGql,2026-01-01 11:07:25,,308,202,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433629,Facebook,118240937870137,Football Pro - VTC,,track-competitors,826971313676187,PHOTO,"🔥HOT🔥 GÓI TÀI TRỢ HÔM NAY TOÀN ĐỒ KHỦNG!
🔖 Gói ngẫu nhiên Thẻ Hiệu Ứng
🔖 Thuốc năng lượng
🔖 Mảnh CT Đỏ QNH
🔖 Hào Quang Quán Quân
⌛ Duy nhất hôm nay!! Online vào game Football Pro và sắm đồ tại mục Tài Trợ Siêu Cấp nhé các HLV!
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid02JJSGh7jWZW3GsGw93Ey7Z2mepYfiaVYeqmiAzq7n5aJ2AMeDd8qegEWg6j6dSdZ2l,2026-01-01 11:36:02,,238,165,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433628,Facebook,118240937870137,Football Pro - VTC,,track-competitors,827650830274902,PHOTO,"🔥 RA MẮT HUYỀN THOẠI MAN UNITED: BOBBY CHARLTON 🔥
💥 Khai mở sự kiện ĐUA TOP LƯỢT QUAY HUYỀN THOẠI!

⏰ Thời gian: 02/01 – 04/01
💥 Tham gia vòng quay Huyền Thoại, quay đủ 1200 lượt để bước vào cuộc đua Top nhận quà cực khủng!

🏆 Phần thưởng BXH:
Top 1: Gói tự chọn Thẻ hiệu ứng HIẾM x3
Top 2 – 4: Gói tự chọn Thẻ hiệu ứng x2
Top 5 – 10: Gói tự chọn Thẻ hiệu ứng x1

🎁 Mốc quay Khích lệ:
✨ Quay đủ 2000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 2500 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 3000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng HIẾM x1

🌟 Đặc biệt: Toàn bộ người chơi trong server của Top 1 sẽ được vinh danh và nhận thêm 5 Vé Trinh Sát Huyền Thoại!
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid0mEaXoJMwPYMZ9bLbRYNC4JsrX5wsJURbXkwcdFE1hahPuisJPga64vasiwvEKi63l,2026-01-02 09:05:01,,216,167,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433617,Facebook,118240937870137,Football Pro - VTC,,track-competitors,827672853606033,PHOTO,,https://www.facebook.com/FootballProVTC/posts/1329215125560644:1329215125560644,2026-01-02 09:54:15,,156,124,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433616,Facebook,118240937870137,Football Pro - VTC,,track-competitors,827717213601597,PHOTO,"🔥GÓI SIÊU ƯU ĐÃI ĐÃ CÓ TẠI FOOTBALL PRO 🔥
⌛️ Thời gian mở bán gói chỉ trong hôm nay: 02/01/2026!
🥰 Mua vé quay và tham gia sự kiện Huyền Thoại với sự xuất hiện của Tượng Đài Manchester United: Sir Bobby Charlton!
🔖 Nhanh tay nào thưa các HLV ơi!!!!
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid02FAVWwULytqq9ioyh95juU9U3pkc9K7un3G7BSxN2uGQoqw2P4X9MRYeCTWhBhs8Bl,2026-01-02 11:30:02,,169,121,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433613,Facebook,118240937870137,Football Pro - VTC,,track-competitors,828385536868098,PHOTO,"⚽️ KHỞI ĐỘNG FAN CỨNG 2026⚽️
📢 Com.ment nhận Huy Hiệu Fan Cứng - Nhận quà cả năm nào!!!
✨ Liên tục Li.ke, Com.ment, Sha.re các bài đăng mới nhất của Football Pro để nhận quà mỗi tháng!
🤓 Hãy bật chế độ xem trước trên trang Football Pro để không bỏ lỡ bất kỳ thông tin quan trọng nào về game nhé!
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid0ayVYtxozhgw1KoNWE3owVDkZV4Ajtq9PUKAqAPZB9rVoH6ewcb6sY9aCx8GjyBHxl,2026-01-03 10:00:16,,1245,519,694,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433607,Facebook,118240937870137,Football Pro - VTC,,track-competitors,828539486852703,PHOTO,"🔥 CẬP NHẬT ĐUA TOP VÒNG QUAY ICON 🔥
Tính đến hết ngày 02/01
💥 Tham gia vòng quay Huyền Thoại, quay đủ 1200 lượt để bước vào cuộc đua Top nhận quà cực khủng!

🏆 BXH tính đến hết ngày 02/01
🌟Hạng 1: ⒻⓅⓉⒸⓄⒸⒶ (server: 881) số lần quay: 1114 
🌟Hạng 2: ☆ⒸụⒷá☆ (server: 1729) số lần quay: 1104 
🌟Hạng 3: AEF-END-GAME (server: 721) số lần quay: 1080 
🌟Hạng 4: REFUND-GAMING (server: 113) số lần quay: 1068 
🌟Hạng 5: MU.FC.TEAM (server: 257) số lần quay: 1028 
🌟Hạng 6: Đức Trí (server: 273) số lần quay: 1021 
🌟Hạng 7: FC.HàNội (server: 1745) số lần quay: 960 
🌟Hạng 8: ★19ⒶⓊⒼ★ (server: 737) số lần quay: 943 
🌟Hạng 9: LongHop (server: 705) số lần quay: 931 
🌟Hạng 10: MU*ALLSTAR (server: 1761) số lần quay: 889

🏆 Phần thưởng BXH:
Top 1: Gói tự chọn Thẻ hiệu ứng HIẾM x3
Top 2 – 4: Gói tự chọn Thẻ hiệu ứng x2
Top 5 – 10: Gói tự chọn Thẻ hiệu ứng x1

🎁 Mốc quay Khích lệ:
✨ Quay đủ 2000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 2500 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 3000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng HIẾM x1
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid02AieW8yR61vLeoMvFKA5HCZ4gAoEnoRZ6qFPtBug64qiQKo52ft7oDTPcE5ZCmA3zl,2026-01-03 15:42:27,,208,143,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433606,Facebook,118240937870137,Football Pro - VTC,,track-competitors,829074790132506,PHOTO,"⭐ TÀI TRỢ HÀNG TUẦN: RINH QUÀ TUẦN MỚI NGAY ⭐
🎁 Com.ment ""cuối tuần"" để rinh tài trợ về kho nhé!
🔖 Giftcode dài và dễ nhầm ký tự, vì vậy các bạn hãy copy (sao chép) để tránh nhầm lẫn nhé!
🏆 Sự kiện Tài Trợ HLV lên sóng mỗi chủ nhật hàng tuần, đừng quên online đúng giờ để không bỏ lỡ quà nhé!
📌 Lưu ý:
👉 Yêu cầu copy code để tránh nhầm lẫn
#taitroHLV040126
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid0rqNRhGanCgBHx4Shsx9STbWuggfrRcRLR2XE8YyfCTvXQ4u94rFM7a1maJC6Lp6Hl,2026-01-04 10:00:10,#taitroHLV040126,1466,436,1022,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41433604,Facebook,118240937870137,Football Pro - VTC,,track-competitors,829294900110495,PHOTO,"🔥 CẬP NHẬT ĐUA TOP VÒNG QUAY ICON 🔥
Tính đến hết ngày 03/01
💥 Tham gia vòng quay Huyền Thoại, quay đủ 1200 lượt để bước vào cuộc đua Top nhận quà cực khủng!

🏆 BXH tính đến hết ngày 03/01
🌟Hạng 1: ☆ⒸụⒷá☆ (server: 1729) số lần quay: 1870 
🌟Hạng 2: AEF-END-GAME (server: 721) số lần quay: 1400 
🌟Hạng 3: MU.FC.TEAM (server: 257) số lần quay: 1360 
🌟Hạng 4: Ánh Nguyệt (server: 273) số lần quay: 1348 
🌟Hạng 5: Blaugrana (server: 1617) số lần quay: 1142 
🌟Hạng 6: ⒻⓅⓉⒸⓄⒸⒶ (server: 881) số lần quay: 1114 
🌟Hạng 7: [KSV]BDN❤️CR7 (server: 81) số lần quay: 1099 
🌟Hạng 8: REFUND-GAMING (server: 113) số lần quay: 1098 
🌟Hạng 9: ✛ⓁⓔⓄⓙⓡ✛ (server: 1377) số lần quay: 1073 
🌟Hạng 10: Hải Hậu Fc (server: 1265) số lần quay: 1012

🏆 Phần thưởng BXH:
Top 1: Gói tự chọn Thẻ hiệu ứng HIẾM x3
Top 2 – 4: Gói tự chọn Thẻ hiệu ứng x2
Top 5 – 10: Gói tự chọn Thẻ hiệu ứng x1

🎁 Mốc quay Khích lệ:
✨ Quay đủ 2000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 2500 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng x1
✨ Quay đủ 3000 lượt sẽ nhận Gói tự chọn Thẻ hiệu ứng HIẾM x1
------------------------
📌 Webshop Football Pro: https://footballpro.vn/shop
📌 Nạp thẻ ngay tại: https://scoin.vn/nap-cknh/107
📌 Tải game ngay: https://footballprovtc.onelink.me/QyIt/Social
📌 Group cộng đồng: https://www.facebook.com/groups/footballprovtc
⚽️ Tặng Giftcode tân thủ: FREE301LUOTQUAY, FOOTBALLPRO2024, VIETNAM1234, FOOTBALLCHAMPION1, RONALDOMESSI1, SHOTTT1234, GLORY1234, TEAMOFSEASON1, MANOFMATCH1",https://www.facebook.com/FootballProVTC/posts/pfbid02qjGB5r1oydyQo7keCNuX6sH1XrKT8er1y1XJ2ZgkUADaA33eHYE6ECdKyok32Ab4l,2026-01-04 18:03:18,,196,147,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
