ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
31896403,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1017385504113773,VIDEO,"Ngày thi đấu cuối cùng của Tuần 1 hứa hẹn sẽ cực kỳ hấp dẫn và khó đoán khi các đội tuyển đều ra sân với mục tiêu giành thêm điểm số quan trọng. Sau hai ngày thi đấu đầu tiên, cục diện của Vòng Bảng đang dần hình thành và mỗi trận đấu lúc này đều mang ý nghĩa then chốt.
Ai sẽ tận dụng tốt cơ hội để bứt phá trong ngày thi đấu khép lại Tuần 1? 

Đón xem ngay Ngày 3 Giai đoạn Vòng Bảng với những trận đấu đáng chú ý sau đây: 
- 20:00 | GOW Esports vs ROY Esports

#VMCSpring2026 #VMC2026 #MLBBVN #FuntapGames #FuntapEsports #VIRESA #FPTOnline",https://www.facebook.com/MobileLegendsGameVN/videos/1017385504113773/,2026-04-05 19:46:59,#VMCSpring2026 #VMC2026 #MLBBVN #FuntapGames #FuntapEsports #VIRESA #FPTOnline,84,75,5,4,6858,,,,,,,,,,,,,,,,,,,,,,,,,,,1753,2851
15219757,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1197275772546973,VIDEO,"Giải Vô địch Thế giới Mobile Legends: Bang Bang M7 chính thức khởi tranh từ hôm nay với những trận đấu đầu tiên của Giai đoạn Vòng Wildcard!

8 đội tuyển đều đã sẵn sàng để bước đến những màn tranh tài hấp dẫn và kịch tính để hướng đến mục tiêu duy nhất: Tấm vé tham dự Vòng đấu Thể thức Thụy Sĩ cực kỳ giá trị! 

Cái tên ưu tú nào sẽ chinh phục được phần thưởng quý giá này? Đón xem ngay từ 14h trên tất cả các nền tảng mạng xã hội của Mobile Legends: Bang Bang Việt Nam! 

Lịch thi đấu Ngày 1: 
- 18:00 - Virtus.pro vs 🇻🇳RLG SE 
- 20:00 - Boostgate Esports vs Leon Esports",https://www.facebook.com/MobileLegendsGameVN/videos/1197275772546973/,2026-01-03 17:31:06,,213,164,46,3,19042,,,,,,,,,,,,,,,,,,,,,,,,,,,13447,6669
16278798,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1202651288640486,VIDEO,"Kịch tính và khó đoán - đó là những gì sẽ diễn ra tại Ngày thi đấu thứ 5 của Vòng Knockout! Liệu Team Liquid có thể thành công leo tháp đến Chung Kết Tổng? Hay Alter Ego và Selangor Red Giants sẽ ""thay nhau"" chặn đứng Con Đường Hoàng Kim của KarlTzy và những người đồng đội? 

Lịch thi đấu Ngày 5 Vòng Knockout:
- 15h | Team Liquid vs Alter Ego Esports 
- 19h | Selangor Red Giants vs Thắng trận 1

#M7 #LetTheWorldSeeUs #MLBBEsports #RoadToJakarta #MLBBM7 #MLBBVN #FuntapGames #FuntapEsports #VIRESA",https://www.facebook.com/MobileLegendsGameVN/videos/1202651288640486/,2026-01-24 14:37:24,#M7 #LetTheWorldSeeUs #MLBBEsports #RoadToJakarta #MLBBM7 #MLBBVN #FuntapGames #FuntapEsports #VIRESA,87,79,5,3,15143,,,,,,,,,,,,,,,,,,,,,,,,,,,13908,4730
15915117,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1204896568503937,TEXT,,https://www.facebook.com/events/1204896568503937/,2026-01-22 09:30:53,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15575875,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1205175484438006,TEXT,,https://www.facebook.com/events/1205175484438006/,2026-01-12 10:09:01,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15605133,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1234369678583361,TEXT,,https://www.facebook.com/events/1234369678583361/,2026-01-13 10:04:47,,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19093360,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1239285307787556,VIDEO,🔴 LIVESTREAM QUAY THƯỞNG 2 | CÁ CHÉP MAY MẮN | THỎ ĐẾN BANG BANG - DÁT VÀNG NĂM MỚI,https://www.facebook.com/MobileLegendsGameVN/videos/1239285307787556/,2026-02-24 19:55:15,,1557,291,1241,25,19174,,,,,,,,,,,,,,,,,,,,,,,,,,,3447,5824
15947500,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1249174383744125,VIDEO,"Đại diện cuối cùng của chủ nhà - Alter Ego Esports có thể trụ vững trước Rồng Trắng Phương Tây - Team Spirit?

#M7 #LetTheWorldSeeUs #MLBBEsports #RoadToJakarta #MLBBM7 #MLBBVN #FuntapGames #FuntapEsports #VIRESA",https://www.facebook.com/MobileLegendsGameVN/videos/1249174383744125/,2026-01-23 18:44:48,#M7 #LetTheWorldSeeUs #MLBBEsports #RoadToJakarta #MLBBM7 #MLBBVN #FuntapGames #FuntapEsports #VIRESA,76,68,5,3,9261,,,,,,,,,,,,,,,,,,,,,,,,,,,13523,2867
15746689,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1256475529636615,TEXT,,https://www.facebook.com/events/1256475529636615/,2026-01-17 11:24:35,,16,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15605131,Facebook,1722990624697290,Mobile Legends: Bang Bang,,track-competitors,1261098992788048,VIDEO,"Tiếp nối những diễn biến kịch tính của Vòng 3 Swiss Stage, chúng ta sẽ tiếp tục hành trình đi tìm kiếm những cái tên sáng giá cho tấm vé đến Vòng Knockout, và tất nhiên là cả đội tuyển phải dừng bước trong ngày thi đấu hôm nay. 

Liệu đó sẽ là những đội tuyển nào? 

Lịch thi đấu Ngày 4 Vòng Swiss:
- 14h | Boostgate Esports vs CFU Gaming
- 16h | EVIL vs Aurora Gaming
- 17h | Team Spirit vs ONIC ID
- 18h | Selangor Red Giants vs Team Liquid",https://www.facebook.com/MobileLegendsGameVN/videos/1261098992788048/,2026-01-13 13:37:47,,85,70,9,6,19761,,,,,,,,,,,,,,,,,,,,,,,,,,,25797,5323
