ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41469291,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1196807109095681,VIDEO,"🎉 Bộ môn PUBG Mobile chính thức khai màn tại SEA Esports Nations Cup 2026

Những trận đấu đầu tiên của SEA Esports Nations Cup 2026 đã chính thức bắt đầu, mở màn cho hành trình tranh tài đầy kịch tính của các đội tuyển quốc gia hàng đầu khu vực Đông Nam Á ở bộ môn PUBG Mobile.

Cùng hướng mắt về SEA Esports Nations Cup 2026 và tiếp lửa cho các đại diện Việt Nam trên hành trình chinh phục vinh quang khu vực nào! 🤩

🔥 10 QUỐC GIA THAM DỰ GỒM:
🇧🇳 Brunei
🇰🇭 Cambodia
🇮🇩 Indonesia
🇱🇦 Laos
🇲🇾 Malaysia
🇲🇲 Myanmar
🇵🇭 Philippines
🇸🇬 Singapore
🇹🇱 Timor Leste
🇻🇳 Vietnam
Đại diện cho mỗi quốc gia là vận động viên ưu tú, được tuyển chọn kỹ càng bởi Liên đoàn Thể thao Điện tử để mang về vinh quang cho khu vực ✨

⏱️ Thời gian livestream giải đấu: từ 9h ngày 08-09/05/2026
🎪 Địa điểm: Trung tâm Hội chợ và Triển lãm Sài Gòn: SECC (Quận 7, TP.HCM)

#PUBGMESPORTS #SNCxPUBGM #VietnamGameverse2026",https://www.facebook.com/PUBGMobileVN/videos/1196807109095681/,2026-05-09 08:33:11,#PUBGMESPORTS #SNCxPUBGM #VietnamGameverse2026,88,69,18,1,14314,,,,,,,,,,,,,,,,,,,,,,,,,,,9440,108352
41468880,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1325692986140322,VIDEO,"Chào mừng đến với 2026 PUBG MOBILE GLOBAL OPEN SEA S1 FINALS! 🔥

16 đội tuyển hàng đầu Đông Nam Á bước vào chiến trường, nhưng chỉ những đội mạnh nhất mới có thể vượt qua áp lực và giành lấy vị trí trong số những đội tuyển xuất sắc nhất thế giới. Trong suốt ba ngày thi đấu, mọi trận đấu đều mang ý nghĩa quyết định.

💰 Tổng giải thưởng: $40,000
📍 Địa điểm: Thái Lan
Lịch thi đấu:
🗓 Ngày 1: 15/5
🗓 Ngày 2: 16/5
🗓 Ngày 3: 17/5
🎯 Top 5 đội tuyển sẽ giành quyền tham dự PMGO S1 Main Event

#PMGO #PMGO2026 #PUBGMOBILE #PUBGMESPORTS #PUBGMOBILEESPORTS #2026PMGOS1SeaFinals",https://www.facebook.com/PUBGMobileVN/videos/1325692986140322/,2026-05-16 16:45:20,#PMGO #PMGO2026 #PUBGMOBILE #PUBGMESPORTS #PUBGMOBILEESPORTS #2026PMGOS1SeaFinals,130,87,37,6,13260,,,,,,,,,,,,,,,,,,,,,,,,,,,20318,13807
41490067,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1441552940860296,TEXT,🎇🎉2️⃣0️⃣2️⃣6️⃣🎉🎆,https://www.facebook.com/PUBGMobileVN/posts/pfbid0298up1y5W2UaDpE4KHpPNX3DvzqqTppScMdnZMYwQBPYd55LtKnmnG3bRHe9VFsUdl,2026-01-01 00:04:28,,1211,1090,108,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490066,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1441581734190750,TEXT,"PUBG Mobile chúc mừng năm mới 2026 tất cả các Đồng Bo trên khắp Thế giới. 😍 

Chúc tất cả các Đồng Bo có thật nhiều niềm vui, đạt nhiều thành tựu trong cuộc sống và mãi đồng hành cùng PUBG Mobile trong năm nay và các năm sau nữa nhé! 😍

 #PUBGMOBILEVN",https://www.facebook.com/reel/25548674298160894/,2026-01-01 00:43:52,#PUBGMOBILEVN,2501,2357,109,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490064,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1441915837490673,SHARE,"❄️ NỮ THẦN QUỐC DÂN GIÁP TỐI THƯỢNG BĂNG LINH MỸ NHÂN CÙNG SÚNG NÂNG CẤP KAR98K BĂNG YÊU ĐÃ RA MẮT | MỞ BÁN TỪ 1/1

Siêu phẩm nữ thần băng giá Băng Linh Mỹ Nhân cùng skin Súng Nâng Cấp Kar98K Băng Yêu đã mở bán. Lĩnh hội băng khí từ ngoại trang tối thượng đẳng cấp, trở thành chiến thần chí tôn chỉ từ 10 UC.

👉 Mở bán giới hạn từ 1/1 - 26/1 tại Vòng xoay Giáp Tối Thượng mới. Sở hữu ngay!

#PUBGMOBILEVN #GIAPTOITHUONG",https://www.facebook.com/PUBGMobileVN/posts/pfbid0365fNFpF7rBoZw8YhufaumRfGuxR4HfY9q9dpE3gnEUd5wimeT9Hb9W965ZQnr6zDl,2026-01-01 10:08:42,#PUBGMOBILEVN #GIAPTOITHUONG,376,332,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490056,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1441989857483271,TEXT,"❄️ QUYẾN RŨ NHẤT VÒNG BO VỚI GIÁP TỐI THƯỢNG BĂNG LINH MỸ NHÂN & SÚNG NÂNG CẤP KAR98K MỚI

Từ ngày 1/1 - 26/1, hoá thân nữ thần Chí Tôn quyền năng với combo siêu phẩm Giáp Tối Thượng Băng Linh Mỹ Nhân và Súng Nâng Cấp Kar98k Băng Yêu mới. Chỉ có tại Vòng Xoay Giáp Tối Thượng, sở hữu ngay!

🔥 Mở bán giới hạn từ 1/1 - 26/1. Đừng bỏ lỡ!
#PUBGMOBILEVN #GIAPTOITHUONG",https://www.facebook.com/reel/2607459692989894/,2026-01-01 12:00:37,#PUBGMOBILEVN #GIAPTOITHUONG,181,176,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490054,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1442162430799347,SHARE,"Tình quay Giáp Tối Thượng ngày đầu năm của Đồng Bo như thế nào rồi? 😆 

👉 Giáp Tối Thượng Băng Linh Mỹ Nhân cùng Súng Nâng Cấp Kar98K - Băng Yêu mở bán giới hạn từ 1/1 - 26/1 chỉ từ 10 UC. Sở hữu ngay!

#PUBGMOBILEVN #GIAPTOITHUONG",https://www.facebook.com/PUBGMobileVN/posts/pfbid0Fr8uoVrSAdczKo55KDn57VrhuL11M3U1LtLahMKVGa3V9eaBVY9btu7zZKDinzinl,2026-01-01 17:05:19,#PUBGMOBILEVN #GIAPTOITHUONG,821,725,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490046,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1442236980791892,SHARE,"🥳 CHÚC MỪNG NĂM MỚI HỘI ĐỒNG BO 

Chúc anh em Đồng Bo năm mới 8386, leo rank mượt mà, chiến trận nào cũng Top 1 và mọi khoảnh khắc cùng squad combat lúc nào cũng trọn vẹn. Chúc các Đồng Bo một năm mới săn gà thành công! 🎉

#PUBGMOBILEVN #PUBGMnewyear2026",https://www.facebook.com/PUBGMobileVN/posts/pfbid0HMcbRqPunhq93eULs8HSG91jyRv2fVBx9iFGRjS24ULj8zb1ocRkXGdswxNQtRLvl,2026-01-01 19:24:20,#PUBGMOBILEVN #PUBGMnewyear2026,126,112,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490013,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1442353390780251,SHARE,"Chốt ngày đầu tiên của năm mới, nhả vía cho các Đồng Bo 😉

👉 Giáp Tối Thượng Băng Linh Mỹ Nhân cùng Súng Nâng Cấp Kar98K - Băng Yêu mở bán giới hạn từ 1/1 - 26/1 chỉ từ 10 UC. Sở hữu ngay!

#PUBGMOBILEVN #GIAPTOITHUONG",https://www.facebook.com/PUBGMobileVN/posts/pfbid02CN4UA2PVB4M8sXMkr4wW6xVbNKsChCfV7HXCRLqKhyknk5wxBwchipBVRFtzouil,2026-01-01 22:24:32,#PUBGMOBILEVN #GIAPTOITHUONG,1941,1784,155,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41490012,Facebook,251269595573816,PUBG Mobile VN,,track-competitors,1442683207413936,TEXT,"Đây có phải là hiệu ứng Dù lượn đẹp nhất từ trước tới nay không? 🤔

👉 Giáp Tối Thượng Băng Linh Mỹ Nhân cùng Súng Nâng Cấp Kar98K - Băng Yêu mở bán giới hạn từ 1/1 - 26/1 chỉ từ 10 UC. Sở hữu ngay!

#PUBGMOBILEVN #GIAPTOITHUONG",https://www.facebook.com/reel/2024187848147778/,2026-01-02 10:16:27,#PUBGMOBILEVN #GIAPTOITHUONG,467,433,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
