ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41434109,Facebook,825780510629182,Total Football VNG,,track-competitors,122112240807159070,PHOTO,,https://www.facebook.com/TotalFootballVN/posts/122112240807159070:1609599520240322,2026-01-22 16:38:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434108,Facebook,825780510629182,Total Football VNG,,track-competitors,122112444753159070,PHOTO,"🔥🔥🔥 VÀ ĐÓ LÀ CHIẾN THẮNG CHO NHỮNG CHIẾN BINH SAO VÀNG

Dù chỉ còn 10 người Việt Nam vẫn đủ bản lĩnh vượt qua Hàn Quốc trên chấm luân lưu

CHÚC MỪNG NHỮNG CHÀNG TRAI CỦA CHÚNG TA ❤️❤️❤️

#TotalFootballVNG #VNGGAMES #AlphaTest #TF #TotalFootballVN",https://www.facebook.com/TotalFootballVN/posts/pfbid0hvb2q1Y9KHZ2cXu7dTjbkZa4KCEo9d5sefLmb5BYYJxfQ36TPihNkNVSVGHTLLuKl,2026-01-24 00:56:48,#TotalFootballVNG #VNGGAMES #AlphaTest #TF #TotalFootballVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434107,Facebook,825780510629182,Total Football VNG,,track-competitors,122113060431159070,TEXT,"📢 Thông báo quan trọng đến các Huấn luyện viên

Từ 21:00 tối nay, Total Football sẽ được gỡ khỏi các nền tảng tải ứng dụng. Vì vậy, các HLV chưa cài đặt game sẽ không thể tham gia Alpha Test sau thời điểm này.

👉 Đối với các HLV đã cài đặt, Alpha Test vẫn sẽ diễn ra đến 23:59 hôm nay để mọi người tiếp tục trải nghiệm và hoàn tất hành trình trên sân cỏ.

Đội ngũ Total Football xin gửi lời cảm ơn chân thành đến tất cả HLV đã đồng hành, thi đấu và đóng góp ý kiến trong suốt giai đoạn Alpha Test. Mọi đóng góp của các HLV đều đã được lắng nghe và ghi nhận.

Hẹn gặp lại các HLV trên một sân đấu hoàn chỉnh hơn, với nhiều trải nghiệm đáng mong đợi trong phiên bản chính thức! ⚽

#TotalFootballVNG #VNGGAMES #AlphaTest #TF #TotalFootballVN",https://www.facebook.com/TotalFootballVN/posts/pfbid02VQzfSVpTdmQm3Gjj9HqscXipbhkUUx8tikcR3awjeTRkiEJFQqDJU84z54Jz6konl,2026-01-28 21:00:00,#TotalFootballVNG #VNGGAMES #AlphaTest #TF #TotalFootballVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434059,Facebook,825780510629182,Total Football VNG,,track-competitors,122114576127159070,PHOTO,"CHIẾN THẮNG THUYẾT PHỤC: ARS 3 - 0 SUN

Kể cả khi đối mặt với áp lực bị dồn ép đầu trận, ARS đã khẳng định bản lĩnh của đội dẫn đầu bằng những pha dứt điểm xa đầy hiệu quả. Chiến thắng thuyết phục này không chỉ giúp đội bóng tiến gần hơn đến ngôi vương sau hai thập kỷ, mà còn thiết lập chuỗi dài 44 trận thắng trên sân nhà khi đối mặt với các đội bóng mới lên hạng. 

Các Huấn luyện viên dự đoán sao về hành trình sắp tới của đội bóng dẫn đầu? ⚽

#TotalFootballVNG #EPL",https://www.facebook.com/TotalFootballVN/posts/pfbid0A5qwbtyCatSqKyVStWvsW1Pw1nom691eTGZShy1fwkexZ6tgApzQocYV7kyC8pPQl,2026-02-08 08:42:13,#TotalFootballVNG #EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434058,Facebook,825780510629182,Total Football VNG,,track-competitors,122114984283159070,PHOTO,"Chia điểm tại Old Trafford: Chuỗi thắng dừng lại, mạch bất bại kéo dài

Trận hòa 1-1 trước WHU đã chính thức ngắt quãng chuỗi 5 trận toàn thắng của MU. Tuy nhiên, việc giữ lại 1 điểm giúp Quỷ đỏ vẫn duy trì được mạch trận bất bại quan trọng. 

Nhìn chung, cơ hội chen chân vào Top 4 vẫn đang rộng mở nếu thầy trò Michael Carrick giữ vững phong độ này trong các vòng đấu tới.

#TotalFootballVNG #EPL",https://www.facebook.com/TotalFootballVN/posts/pfbid07eXWFeLqGw2psQaunngFVeMX2GoNpnXcv7sTVb5wLMve5AHDZk6cLQx3X8grZcZul,2026-02-11 09:05:17,#TotalFootballVNG #EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434056,Facebook,825780510629182,Total Football VNG,,track-competitors,122115107097159070,PHOTO,"Bản lĩnh Lữ Đoàn Đỏ: LIV phá vỡ kỷ lục bất bại trên sân nhà của SUN

Trận đấu tâm điểm tại Quảng Trường Ánh Sáng (Stadium of Light) đã kết thúc với chiến thắng 1-0 nghiêng về phía LIV.  

Thắng lợi này không chỉ giúp LIV củng cố vị trí trên bảng xếp hạng mà còn nối dài mạch kỷ lục đối đầu ấn tượng với 12 trận liên tiếp bất bại trước Mèo Đen. Cảm xúc vỡ òa của các cổ động viên LIV tại khán đài khách đã minh chứng cho sức nóng và sự kịch tính mà chỉ giải đấu hấp dẫn nhất hành tinh mới có thể mang lại.

Các HLV nghĩ sao về trận cầu này? 

#TotalFootballVNG #EPL",https://www.facebook.com/TotalFootballVN/posts/pfbid0gmKB2AcySUwbhuE338NKorUdnmwczSC9iA5y8mMH4WRgZucwDKCVYFXEQ86eeNAsl,2026-02-12 08:20:41,#TotalFootballVNG #EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434033,Facebook,825780510629182,Total Football VNG,,track-competitors,122115248691159070,PHOTO,"ARS bất lực nới rộng khoảng cách tại Bảng xếp hạng EPL

Trận cầu kịch tính đã khép lại với tỷ số hòa 1-1 khi ARS vấp phải sự kháng cự kiên cường từ Bầy Ong.

Chỉ giành được 1 điểm, Pháo Thủ chính thức bỏ lỡ cơ hội vàng để tái lập khoảng cách 6 điểm trên ngôi đầu bảng xếp hạng. Sự sảy chân đáng tiếc này chắc chắn sẽ khiến cuộc đua vô địch EPL trở nên nghẹt thở hơn bao giờ hết trong những vòng đấu tới.

#TotalFootballVNG #EPL",https://www.facebook.com/TotalFootballVN/posts/pfbid031EmqgZ4n5d3CYvg9ctSptxCGqAYEnSmSFXLZEppDjiKX4UjwxVToWy2CyEke3z2dl,2026-02-13 08:26:55,#TotalFootballVNG #EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434031,Facebook,825780510629182,Total Football VNG,,track-competitors,122115281979159070,PHOTO,"NĂM MỚI. CHUẨN MỰC MỚI.
Lộc xuân đầy túi không bằng chuỗi thắng đầy tay.

Chúc mừng năm mới, các Huấn luyện viên!

Trong khi không khí lễ hội đang rộn ràng khắp nơi, đội ngũ phát triển Total Football VNG vẫn đang bền bỉ tiến về phía trước. Chúng tôi tin rằng, món quà ý nghĩa nhất cho khởi đầu mới chính là một trải nghiệm hoàn hảo.

Từng chuyển động đang được tối ưu hóa để đảm bảo bạn có thể bứt phá mọi giới hạn cùng đội hình siêu sao của mình với Total Football VNG. Cảm ơn các bạn đã luôn kiên nhẫn đồng hành và tin tưởng.

Sân cỏ đang hoàn thiện. Một hành trình mượt mà hơn đang chờ đón bạn phía trước.

#TotalFootballVNG",https://www.facebook.com/TotalFootballVN/posts/pfbid0QqHeYdSxLtXFfid6jFrLomjZahEjETwqVBi1iN1vvG28BMsnGaCqHVHv8rBvqvkJl,2026-02-17 19:00:01,#TotalFootballVNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434032,Facebook,825780510629182,Total Football VNG,,track-competitors,122115705879159070,PHOTO,"CHÚNG TÔI LUÔN LẮNG NGHE CÁC HUẤN LUYỆN VIÊN.

Đội ngũ hiểu rằng các HLV đã chờ đợi rất lâu và cũng hiểu cảm giác mỗi ngày mở Play Store chỉ để tìm kiếm một tín hiệu mới. Với tất cả chúng ta, Total Football VNG chưa bao giờ chỉ là một trò chơi; đó là sân cỏ nơi chúng ta cùng sống trọn từng khoảnh khắc.

Chính vì thế, chúng tôi từ chối ra mắt một trải nghiệm chưa hoàn chỉnh. Đội ngũ phát triển đang tinh chỉnh từng chi tiết để khi tiếng còi vang lên, mọi khoảnh khắc đều trở nên trọn vẹn:
⭐️ Trải nghiệm nhẹ nhàng: Tinh giản dung lượng để bất kỳ thiết bị nào cũng có thể nhập cuộc mượt mà.
⚙️ Ổn định tuyệt đối: Xử lý triệt để lỗi tải, tối ưu kết nối theo khu vực nhằm giữ đường truyền ổn định như một hàng thủ thép.
🎙️ Tiếng nói của bạn đã được ghi nhận: Bình luận viên tiếng Việt, cầu thủ Việt, chuyển động mới sống động hơn đều đang dần được hiện thực hóa.

Chúng tôi không chỉ tạo ra một trò chơi. Chúng tôi đang xây dựng trò chơi dành riêng cho chính các bạn. Xin chân thành cảm ơn mọi sự kiên nhẫn và đồng hành của các HLV. 

Sự chờ đợi đang dần đến hồi kết. Vẫn cùng đam mê cháy rực trên sân bóng ấy. Nhưng từng pha chạm bóng sẽ mượt mà hơn bao giờ hết.⚽️

#TotalFootballVNG",https://www.facebook.com/TotalFootballVN/posts/pfbid02k7bdZVPsaVKHgFvvFsrxu3kPJ9G71Aokpj4YP2uPVGwzdBTPGgc5FiV3aaEGDUyZl,2026-02-16 19:30:01,#TotalFootballVNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434003,Facebook,825780510629182,Total Football VNG,,track-competitors,122116783263159070,PHOTO,"[CHUYỂN NHƯỢNG MÙA HÈ] MARKETING COLLABORATOR & EDITOR COLLABORATOR

Thị trường chuyển nhượng đã chính thức khởi động, Total Football đang ráo riết săn tìm những siêu tân binh sở hữu đôi chân nhanh nhạy và khối óc đầy tính chiến thuật 🤗

🎬 Nếu các HLV có niềm đam mê bất tận với content và cắt ghép video mượt mà
📝 Sở hữu kỹ năng lên idea nhanh như những pha phối hợp một chạm bất ngờ
💖 Quan trọng nhất là muốn cùng Total Football kiến tạo nên những siêu phẩm highlight mãn nhãn

Cơ hội ra sân chính thức đã sẵn sàng, ký hợp đồng ngay thôi nào!

✨ Link ứng tuyển đang chờ bạn đó, mau mau về cùng một nhà với Total Football thôi nào:
📌 Vị trí Executive: https://byvn.net/md9t
📌 Vị trí Marketing Collaborator: https://byvn.net/MmFq
📌 Vị trí Editor Collaborator: https://byvn.net/Fors

#TotalFootballVNG #hiring",https://www.facebook.com/TotalFootballVN/posts/pfbid0TdgZLm6izVTPxaE4rcDJi2L5PPF57jPoHiHH43iby1fwbUjXdnyLVeptUZLbc3HRl,2026-02-25 10:44:24,#TotalFootballVNG #hiring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
