ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41432745,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122112150368288788,PHOTO,"⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!

📲 Tải game: https://beapro.vtcgame.vn/tai-game
🎁 Trang nạp chính thức: https://napthe.vtcgame.vn/Nap-Be-A-Pro-57
⚡️ Hướng dẫn nạp thẻ: https://beapro.vtcgame.vn/huong-dan-nap-the--29
📍 Trang chủ: https://beapro.vtcgame.vn
📍 Cộng đồng Be A Pro: Football Vietnam: https://www.facebook.com/groups/beaprovnofficial
📍 Kênh Youtube Be A Pro: Football Vietnam: https://www.youtube.com/@beaprovnofficial",https://www.facebook.com/beaprovtcgame/posts/122112150368288788:4330052550546926,2026-01-11 12:43:03,,1538,1178,350,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435918,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122226969458288788,PHOTO,"✨ ĐIỀU CHỈNH QUÀ TÂN THỦ – KHỞI ĐẦU CỰC CHÁY CÙNG DÀN SAO TRẺ! ✨

Chào đón Mùa 20, bắt đầu từ 1/1, Be A Pro: Football mang đến bản nâng cấp cực hời cho hoạt động Đăng nhập 7 ngày dành cho Tân thủ. Chỉ cần điểm danh mỗi ngày, anh em sẽ sở hữu ngay bộ khung đội hình cực chất:

📅 CHI TIẾT LỘ TRÌNH NHẬN QUÀ:
Ngày 1: Gói cầu thủ tổng hợp (có Legend) x5.
Ngày 2: Lamine Yamal OVR 87 (Vàng Đen Hiếm) – Thần đồng Barca trong tay bạn.
Ngày 3: 200 BTicket.
Ngày 4: Vitinha OVR 87 (Vàng Đen Hiếm) – Nhạc trưởng tuyến giữa.
Ngày 5: 200.000 Phí Chuyển Nhượng.
Ngày 6: 500 BTicket.
Ngày 7: Saliba OVR 90 (Mùa Ất Tỵ) – Đá tảng hàng phòng ngự cực kỳ uy tín!

🚀 Cơ hội vàng để các HLV mới xây dựng đội hình trong mơ!

🎮 VÀO GAME NGAY!!!

-----------------------
⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!
#BeAProFootball #BeAProFootballVN #BAPS202026",https://www.facebook.com/beaprovtcgame/posts/pfbid02F2xTXVGXqfyDZ2Dddc8scEnB15auGZ2P2FNuTUZBG9iKuTy8M1NHyGMCB64M9w2ml,2026-01-02 16:00:25,#BeAProFootball #BeAProFootballVN #BAPS202026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435914,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122226984560288788,PHOTO,"🔥 HÀNH TRANG KHÔNG THỂ THIẾU KHI ĐẾN VỚI BAP UNION TOUR 🔥 HÀ NỘI - QUẢNG NINH - HẢI PHÒNG

📸 1. Mã QR nhận quà: Đây là tấm vé thông hành bắt buộc. Nếu chưa có, đăng ký ngay tại: https://checkinsukien.vtcgame.vn 
📱 2. Điện thoại sẵn game Be A Pro: Football: Để sẵn sàng ""on mic"" giao lưu và chiến các giải đấu tại chỗ rinh quà cực khủng. 
❤️ 3. Một ""tâm hồn rực lửa"": Để xua tan cái lạnh miền Bắc, cùng anh em quậy tung các minigame và ""gom"" quà đầy túi!

⏰ Thời gian: 14:00 - 16:30 ngày 04.01.2026
☕️ Địa điểm: 
📍 Hà Nội: Cộng Cà Phê - 94 Đường Láng, Đống Đa. 
📍 Quảng Ninh: BaySide Café & More - Số 10 Trần Quốc Nghiễn, Tuần Châu, Hạ Long. 
📍 Hải Phòng: Vivaria Coffee - Số 4B4 lô 26BC, đường Lê Hồng Phong, Đông Khê, Ngô Quyền.

🎁 BÍ KÍP CHO ANH EM: 
✅ ĐẾN SỚM: Để chắc chắn nhận được Áo thun BAP và quà Ingame độc quyền (số lượng có hạn). 
✅ CHECK-IN XỊN: Lên hình thật bảnh để cùng xuất hiện trong Album Recap của cộng đồng. 
✅ LẬP TEAM: Tag ngay ""Cốt cứng"" vào dưới bài đăng này để cùng đi săn quà nào!

Hẹn gặp anh em tại Offline nhé! ⚽️💨

-----------------------
⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!
#BeAProFootball #BeAProFootballVN #BAPUnionTour",https://www.facebook.com/beaprovtcgame/posts/pfbid0RStZuTrP9r7WDr2PGxHoMoYTYaPef442Hnjma7R49HkVN7c4j7aV8GFMLeBTiqbal,2026-01-02 19:00:28,#BeAProFootball #BeAProFootballVN #BAPUnionTour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435913,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122226994304288788,REEL,Best Skill của MARADONA WCI là đi qua 2-3 lớp phòng thủ!!! Tuyệt đỉnh cú mèo!!! #BeAProFootballVN #BeAProFootball #BAPWorldCupIconic,https://www.facebook.com/reel/2012156116001329/,2026-01-02 21:00:48,#BeAProFootballVN #BeAProFootball #BAPWorldCupIconic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435912,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227049780288788,PHOTO,"🚨 CHỈ CÒN 01 NGÀY: BAP UNION TOUR SẮP LÊN SÓNG ! 
🚨 HÀ NỘI - QUẢNG NINH - HẢI PHÒNG SẴN SÀNG CHƯA?! 😎

🔥 Anh em HLV chuẩn bị tinh thần chưa? Mai là ""hẹn ước"" miền Bắc chính thức bắt đầu rồi đó! 
😆 Sức nóng từ 3 đầu cầu Hà Nội - Quảng Ninh - Hải Phòng đang lan tỏa hơn bao giờ hết.

📅 Thời gian: 14:00 - Chủ Nhật, ngày 04.01.2026 
📍 Địa điểm:
Hà Nội: Cộng Cà Phê - 94 Đường Láng, Đống Đa.
Quảng Ninh: BaySide Café & More - Số 10 Trần Quốc Nghiễn, Tuần Châu, Hạ Long.
Hải Phòng: Vivaria Coffee - Số 4B4 lô 26BC, Lê Hồng Phong, Ngô Quyền.

👉 Comment ngay ""HÀ NỘI / QUẢNG NINH / HẢI PHÒNG SẴN SÀNG"" để Admin thấy cánh tay của anh em nào!!

-----------------------
⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!
#BeAProFootball #BeAProFootballVN #BAPUnionTour",https://www.facebook.com/beaprovtcgame/posts/pfbid0oURuPWP54Ueb7NmGUUJkx4MpA4PwLrncAtHy2nnh8JgqpMWVe9J6BXgEavK1mgX6l,2026-01-03 10:00:14,#BeAProFootball #BeAProFootballVN #BAPUnionTour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435908,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227062062288788,TEXT,"🔥 DÀN SIÊU SAO WCI – ĐỘI HÌNH ""HUYỀN THOẠI"" QUÉT SẠCH MỌI MỨC RANK! 🔥

Anh em đã sở hữu những ""quái kiệt"" mùa thẻ giới hạn World Cup Iconic (WCI) nhưng chưa biết kết hợp sao cho tối ưu? Tham khảo ngay sơ đồ chiến thuật đang làm mưa làm gió, giúp anh em leo rank ""vèo vèo"".

⚠️ ĐỪNG QUÊN: Đây là mùa thẻ GIỚI HẠN, chỉ xuất hiện tại các sự kiện đặc biệt. Nếu đã may mắn sở hữu, hãy nâng cấp ngay để trải nghiệm sức mạnh thực thụ!

-----------------------
⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!
#BeAProFootball #BeAProFootballVN #BAPWorldCupIconic",https://www.facebook.com/beaprovtcgame/posts/pfbid02A9ZF9ZjNidxHqtS2sKjV1qPVvTaEviDpTBLwaJG5zN3zWYqM2QkwWRrhyGStG9rTl,2026-01-03 13:25:32,#BeAProFootball #BeAProFootballVN #BAPWorldCupIconic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435907,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227071896288788,TEXT,"Ngày cuối tham gia Minigame ""Khoe Chiến Tích"" và nhận quà sự kiện ""Đăng nhập chào mừng 2026""!",https://www.facebook.com/beaprovtcgame/posts/pfbid033ZsCn22tdtcTda2rTcgNh6tfb4dpaZ3jsHcMRQ88ZnMhemaPALziT1AGbVYhPWCUl,2026-01-03 16:00:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435906,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227091534288788,REEL,Không phải lúc nào cao OVR cũng tối ưu cho đội hình của anh em đâu. Tham khảo ngay cách chọn tiền đạo cánh phù hợp với lối chơi nhé!!! #BeAProFootball #BeAProFootballVN,https://www.facebook.com/reel/859052346983221/,2026-01-03 19:00:59,#BeAProFootball #BeAProFootballVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435902,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227157114288788,PHOTO,"⚽️ CHAMPION PASS MÙA 20 ⚽️ 
🎁 MUA NGAY HÔM NAY - NHẬN QUÀ MỖI NGÀY

🏆🌟 Tham gia Champion Pass Tinh Anh chỉ 999 BPoint nhận ngay 5.000 BTicket ngay từ level 1. Đặc biệt khi Pass Tinh Anh đạt level 30, anh em được nhận Hộp Quà Gói Legacy CR7 (0 sao - 6 sao), mở ra nhận ngẫu nhiên 1 gói cầu thủ Legacy CR7 0 sao - 6 sao. 

🎁 Tổng nhận được khi tham gia gói Tinh Anh:
Gói Fusion 85+ (6sao): 1
Gói siêu sao 90+ (có legend): 3
BTicket: 20.000
Gói REI, GO, ETN, WK 97+: 1
Gói WK, GO, EG, TS 88+ (1-3 sao): 2
Gói Fusion 86+ (1sao): 10
Gói Wonder Kid 95+: 2
Gói Siêu Sao 96+ (Có legend): 1
Gói Siêu Sao 94+ (Có legend): 2
Gói Fusion 88+ (2 sao ): 2
Gói Siêu Sao 92+ (Có legend) 2 Sao: 2
WCI,WK, REI, ETN, GO, CoC, NL25, EG, TS,CWC 90+ (Có Legend): 4
Gói ETN, WK, GO, EG, TS 88+ (4-5 sao): 1
Gói Fusion 82+ (8 sao - 10 sao): 1
Hộp Quà Gói Legacy CR7 (0 sao - 6 sao): 1

⏰ Thời gian diễn ra: từ 01/01/2026 đến 23:59 ngày 31/01/2026.

Vào game mở Champion Pass ngay nào!!!

-----------------------
⚽️ Be A Pro: Football - Đánh thức Kỹ năng Nhà vô địch!
#BeAProFootball #BeAProFootballVN #BAPChampionPass",https://www.facebook.com/beaprovtcgame/posts/pfbid027KddZMsfEm8Scb771bripMYFjc8hbLV9QJn1XSAmmB2CcSCvrBjWTpiPNEwKeyqql,2026-01-04 10:00:10,#BeAProFootball #BeAProFootballVN #BAPChampionPass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41435901,Facebook,320832347773488,Be A Pro: Football Vietnam,,track-competitors,122227173788288788,REEL,"Sai lầm khi build team Phần 1: Chia đều PCN khi đầu tư cho toàn bộ đội hình 😎🐧
Xem ngay để biết mình có dính lỗi này khi build team không nhé anh em! #BeAProFootballVN #BeAProFootball",https://www.facebook.com/reel/888312700385337/,2026-01-04 15:01:15,#BeAProFootballVN #BeAProFootball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
