ID,Platform,Channel id,Channel name,Channel tags,Category,Post id,Post type,Post description,Link,Publish time,Hashtag,Engagement,Reaction,Comment,Share,View,Engaged users,Negative feedback,Click,Impression Deprecated,Impression,Paid impression,Paid reach,Organic Impression,Organic reach,Viral Impression,Non-viral impression,Reaction_like,Reaction_love,Reaction_wow,Reaction_haha,Reaction_sorry,Reaction_angry,Video avg time watched (second),Organic view,Paid view,View time (second),Organic complete view,Paid complete view,15s view,Organic view time (second),Unique Viewer,Duration (second),3s view
41434365,Facebook,267696003089092,Roblox VN,,track-competitors,122285685224232045,TEXT,"Năm 2026 đến rồi!🎆

Roblox VN chúc bạn Robux rủng rỉnh, gánh team nhiệt tình, chăm học hết mình, điểm số lung linh 😘🎉",https://www.facebook.com/robloxvngofficial/posts/pfbid02BgTGkY5vQvHwduZq1dt7guabxLAZq7sWitZMcEgxrXAi5TN196tMthhZEdcjPVspl,2026-01-01 08:00:05,,2271,2006,256,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434366,Facebook,267696003089092,Roblox VN,,track-competitors,122285778050232045,TEXT,"Thân chào cộng đồng người dùng Roblox tại Việt Nam,

Chúng tôi đã hoàn thành bảo trì kênh nạp shop Roblox VN (VNGGames Shop).

Mời cả nhà vào nạp Robux, và, chúc mừng năm mới 2026! 🙆🏻‍♀️ 🙆🏻

Trân trọng thông báo.",https://www.facebook.com/robloxvngofficial/posts/pfbid02Ngtx4ZuVW5BikvcXXbHHS9Wg45UGeUyX4dJTqFSQdpUNsG41MjehPcfFQ7Prn87cl,2026-01-01 01:10:13,,654,566,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434364,Facebook,267696003089092,Roblox VN,,track-competitors,122285863346232045,REEL,"Ai mà ngờ Roblox VN lại là một rapper giấu nghề đâu nhỉ 🤭

#roblox #robloxvng #robloxfyp #robloxanimation #umamusume",https://www.facebook.com/reel/1175105224798633/,2026-01-01 11:35:31,#roblox #robloxvng #robloxfyp #robloxanimation #umamusume,13379,12796,318,265,423000,,,,,,,,,,,,,,,,,,,,,,,,,,,13,217976
41434354,Facebook,267696003089092,Roblox VN,,track-competitors,122285958212232045,REEL,"Năm mới, khách hơi rộn ràng 😇

 #roblox #robloxvng #robloxfyp #robloxgames #scaryshawarmakiosk",https://www.facebook.com/reel/1580246892988708/,2026-01-01 19:05:33,#roblox #robloxvng #robloxfyp #robloxgames #scaryshawarmakiosk,46789,43755,623,2411,1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,16,789716
41434353,Facebook,267696003089092,Roblox VN,,track-competitors,122286074966232045,REEL,"Tưởng dễ mà dễ tưởng 🤡 

#roblox #robloxvng #robloxfyp #robloxanimation #robloxmeme",https://www.facebook.com/reel/888998297000563/,2026-01-02 11:30:47,#roblox #robloxvng #robloxfyp #robloxanimation #robloxmeme,4183,3998,138,47,133000,,,,,,,,,,,,,,,,,,,,,,,,,,,15,62565
41434352,Facebook,267696003089092,Roblox VN,,track-competitors,122286171878232045,REEL,"Lỡ ghiền cái emote này quá rồi phải làm sao đây 💃 🕺

#roblox #robloxfyp #robloxvietnam #robloxvng #robloxemote",https://www.facebook.com/reel/1547614779796825/,2026-01-02 19:31:09,#roblox #robloxfyp #robloxvietnam #robloxvng #robloxemote,643,592,44,7,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10767
41434333,Facebook,267696003089092,Roblox VN,,track-competitors,122286181520232045,ALBUM,"[TRAO THƯỞNG SỰ KIỆN ĐỂ ROBLOX VN RATE AVATAR CỦA BẠN  3]

Roblox VN xin chúc mừng 100 bạn may mắn trúng thưởng sự kiện ""Để Roblox VN rate avatar của bạn 3"", phát động ngày 19.12.2025 trên nền tảng TikTok 🤩 🤩 🤩

Giải thưởng sẽ được gửi trực tiếp vào tài khoản Roblox của các bạn trúng thưởng, sau tối đa 45 ngày kể từ ngày thông báo nha! 🙆‍♀️ 🙆 

Roblox VN cảm ơn sự tham gia nhiệt tình của các bạn rất nhiều! Nếu lần này chưa may mắn, các bạn có thể đón chờ các sự kiện sắp tới để có cơ hội nhận R.o.b.u.x nha! 🤩

Chúng mình đi chuẩn bị quà cho các bạn đây, bái bai! 👋 👋 👋

#roblox #robloxvng #robloxfyp #robloxvietnam #gamingontiktok",https://www.facebook.com/robloxvngofficial/posts/pfbid02HZdGdfsrdvmrAnWG87pG6WPboMVjjC2Sz9icaAvgiDUfqgHSKq6x3nGJ8qmMYo8rl,2026-01-02 20:01:03,#roblox #robloxvng #robloxfyp #robloxvietnam #gamingontiktok,429,236,192,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434332,Facebook,267696003089092,Roblox VN,,track-competitors,122286301868232045,REEL,"Mở bát năm mới bằng 3 mẫu tóc chiến đét như này liền! 🤭

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/1850497925587281/,2026-01-03 11:33:59,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,970,911,40,19,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18983
41434329,Facebook,267696003089092,Roblox VN,,track-competitors,122286388832232045,REEL,"Win cái là nhảy, tay to không cần nhiều lời 😎

#roblox #robloxfyp #robloxvietnam #robloxvng #robloxemote",https://www.facebook.com/reel/1360744872040925/,2026-01-03 19:31:10,#roblox #robloxfyp #robloxvietnam #robloxvng #robloxemote,3180,3002,92,86,262000,,,,,,,,,,,,,,,,,,,,,,,,,,,14,129325
41434323,Facebook,267696003089092,Roblox VN,,track-competitors,122286517520232045,REEL,"Lì xì đầu năm cho tủ đồ đây nè 🤩 

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/858887333544988/,2026-01-04 11:38:13,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,358,325,32,1,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5285
41434321,Facebook,267696003089092,Roblox VN,,track-competitors,122286591320232045,REEL,"Vào map thì nhệ tênh, lúc về lại đầy tay 🤭

#roblox #robloxvng #robloxfyp #robloxgames #freeitem",https://www.facebook.com/reel/1176672991342078/,2026-01-04 19:30:44,#roblox #robloxvng #robloxfyp #robloxgames #freeitem,776,723,44,9,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15097
41434319,Facebook,267696003089092,Roblox VN,,track-competitors,122286706826232045,REEL,"Đầu năm diện các item này là thần thái khác bọt liền! ✨ 

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/2196834787509320/,2026-01-05 11:30:48,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,712,667,37,8,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11978
41434301,Facebook,267696003089092,Roblox VN,,track-competitors,122286772022232045,TEXT,"Nạp lậu đi rồi sẽ như trong video vậy đó 😇

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/806426129114173/,2026-01-05 19:30:41,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,3116,2919,184,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41434300,Facebook,267696003089092,Roblox VN,,track-competitors,122286880154232045,REEL,"Màu lên rực rỡ, vibe lên hết cỡ 🤭

#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar",https://www.facebook.com/reel/4400740780169590/,2026-01-06 11:30:20,#roblox #robloxvng #robloxfyp #robloxoutfits #robloxavatar,297,254,37,6,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5718
41434295,Facebook,267696003089092,Roblox VN,,track-competitors,122286945020232045,REEL,"Sơ hở một cái là thành nguyên liệu lúc nào không hay 😇

#roblox #robloxfyp #robloxvietnam #robloxvng #baksomalanganomalies",https://www.facebook.com/reel/725462883965269/,2026-01-06 19:30:54,#roblox #robloxfyp #robloxvietnam #robloxvng #baksomalanganomalies,4426,4126,208,92,170000,,,,,,,,,,,,,,,,,,,,,,,,,,,39,91247
